,tradingsymbol,instrument_token
0,3MINDIA,121345
1,AARTIDRUGS,1147137
2,AARTIIND,1793
3,AAVAS,1378561
4,ABB,3329
5,ABBOTINDIA,4583169
6,ABCAPITAL,5533185
7,ABFRL,7707649
8,ACC,5633
9,ADANIENT,6401
10,ADANIGREEN,912129
11,ADANIPORTS,3861249
12,ADVENZYMES,4617985
13,AEGISCHEM,10241
14,AFFLE,2903809
15,AIAENG,3350017
16,AJANTPHARM,2079745
17,AKZOINDIA,375553
18,ALEMBICLTD,20225
19,ALKEM,2995969
20,ALKYLAMINE,1148673
21,ALOKINDS,4524801
22,AMARAJABAT,25601
23,AMBER,303361
24,AMBUJACEM,325121
25,ANGELBRKG,82945
26,APLAPOLLO,6599681
27,APLLTD,6483969
28,APOLLOHOSP,40193
29,APOLLOTYRE,41729
30,ASAHIINDIA,1376769
31,ASHOKA,5166593
32,ASHOKLEY,54273
33,ASIANPAINT,60417
34,ASTERDM,386049
35,ASTRAL,3691009
36,ASTRAZEN,1436161
37,ATUL,67329
38,AUBANK,5436929
39,AUROPHARMA,70401
40,AVANTIFEED,2031617
41,AXISBANK,1510401
42,BAJAJ-AUTO,4267265
43,BAJAJCON,4999937
44,BAJAJELEC,3848705
45,BAJAJFINSV,4268801
46,BAJAJHLDNG,78081
47,BAJFINANCE,81153
48,BALAMINES,3712257
49,BALKRISIND,85761
50,BALMLAWRIE,86529
51,BALRAMCHIN,87297
52,BANDHANBNK,579329
53,BANKBARODA,1195009
54,BANKINDIA,1214721
55,BASF,94209
56,BATAINDIA,94977
57,BAYERCROP,4589313
58,BBTC,97281
59,BDL,548865
60,BEL,98049
61,BEML,101121
62,BERGEPAINT,103425
63,BHARATFORG,108033
64,BHARATRAS,981505
65,BHARTIARTL,2714625
66,BHEL,112129
67,BIOCON,2911489
68,BIRLACORPN,122881
69,BLISSGVS,4931841
70,BLUEDART,126721
71,BLUESTARCO,2127617
72,BOSCHLTD,558337
73,BPCL,134657
74,BRIGADE,3887105
75,BRITANNIA,140033
76,BSE,5013761
77,BSOFT,1790465
78,BURGERKING,382465
79,CADILAHC,2029825
80,CAMS,87553
81,CANBK,2763265
82,CANFINHOME,149249
83,CAPLIPOINT,999937
84,CARBORUNIV,152321
85,CASTROLIND,320001
86,CCL,2931713
87,CEATLTD,3905025
88,CENTRALBK,3812865
89,CENTURYPLY,3406081
90,CENTURYTEX,160001
91,CERA,3849985
92,CESC,160769
93,CGCL,5204225
94,CHALET,2187777
95,CHAMBLFERT,163073
96,CHOLAFIN,175361
97,CHOLAHLDNG,5565441
98,CIPLA,177665
99,COALINDIA,5215745
100,COCHINSHIP,5506049
101,COFORGE,2955009
102,COLPAL,3876097
103,CONCOR,1215745
104,COROMANDEL,189185
105,CREDITACC,1131777
106,CRISIL,193793
107,CROMPTON,4376065
108,CSBBANK,3831297
109,CUB,1459457
110,CUMMINSIND,486657
111,CYIENT,1471489
112,DABUR,197633
113,DALBHARAT,2067201
114,DBL,4630017
115,DCAL,5556225
116,DCBBANK,3513601
117,DCMSHRIRAM,207617
118,DEEPAKNTR,5105409
119,DELTACORP,3851265
120,DHANI,3938305
121,DHANUKA,6248705
122,DISHTV,3722241
123,DIVISLAB,2800641
124,DIXON,5552641
125,DLF,3771393
126,DMART,5097729
127,DRREDDY,225537
128,ECLERX,3885825
129,EDELWEISS,3870465
130,EICHERMOT,232961
131,EIDPARRY,234497
132,EIHOTEL,235265
133,ELGIEQUIP,239873
134,EMAMILTD,3460353
135,ENDURANCE,4818433
136,ENGINERSIN,1256193
137,EPL,251137
138,EQUITAS,4314113
139,ERIS,5415425
140,ESCORTS,245249
141,EXIDEIND,173057
142,FCONSUMER,7689729
143,FDC,1253889
144,FEDERALBNK,261889
145,FINCABLES,265729
146,FINEORG,958465
147,FINPIPE,266497
148,FLUOROCHEM,3520001
149,FORTIS,3735553
150,FRETAIL,4704769
151,FSL,3661825
152,GAEL,2259969
153,GAIL,1207553
154,GALAXYSURF,336641
155,GARFIBRES,281601
156,GEPIL,2012673
157,GESHIP,3526657
158,GICRE,70913
159,GILLETTE,403457
160,GLAND,303617
161,GLAXO,295169
162,GLENMARK,1895937
163,GMMPFAUDLR,401921
164,GMRINFRA,3463169
165,GNFC,300545
166,GODFRYPHLP,302337
167,GODREJAGRO,36865
168,GODREJCP,2585345
169,GODREJIND,2796801
170,GODREJPROP,4576001
171,GPPL,5051137
172,GRANULES,3039233
173,GRAPHITE,151553
174,GRASIM,315393
175,GREAVESCOT,316161
176,GRINDWELL,3471361
177,GRSE,1401601
178,GSFC,319233
179,GSPL,3378433
180,GUJALKALI,324353
181,GUJGASLTD,2713345
182,GULFOILLUB,1124097
183,HAL,589569
184,HATSUN,996353
185,HAVELLS,2513665
186,HCLTECH,1850625
187,HDFC,340481
188,HDFCAMC,1086465
189,HDFCBANK,341249
190,HDFCLIFE,119553
191,HEG,342017
192,HEIDELBERG,592897
193,HEMIPROP,179457
194,HEROMOTOCO,345089
195,HINDALCO,348929
196,HINDCOPPER,4592385
197,HINDPETRO,359937
198,HINDUNILVR,356865
199,HINDZINC,364545
200,HONAUT,874753
201,HSCL,3669505
202,HUDCO,5331201
203,HUHTAMAKI,655873
204,IBREALEST,3699201
205,IBULHSGFIN,7712001
206,ICICIBANK,1270529
207,ICICIGI,5573121
208,ICICIPRULI,4774913
209,ICIL,3068673
210,IDBI,377857
211,IDEA,3677697
212,IDFC,3060993
213,IDFCFIRSTB,2863105
214,IEX,56321
215,IFBIND,380161
216,IGL,2883073
217,IIFL,3023105
218,IIFLWAM,3343617
219,INDHOTEL,387073
220,INDIACEM,387841
221,INDIAMART,2745857
222,INDIANB,3663105
223,INDIGO,2865921
224,INDOCO,2989313
225,INDUSINDBK,1346049
226,INDUSTOWER,7458561
227,INFIBEAM,4159745
228,INFY,408065
229,INGERRAND,408833
230,INOXLEISUR,3384577
231,INTELLECT,1517057
232,IOB,2393089
233,IOC,415745
234,IOLCP,5225729
235,IPCALAB,418049
236,IRB,3920129
237,IRCON,1276417
238,IRCTC,3484417
239,ISEC,637185
240,ITC,424961
241,ITI,428801
242,J&KBANK,1442049
243,JAMNAAUTO,5319169
244,JBCHEPHARM,441857
245,JCHAC,1149697
246,JINDALSAW,774145
247,JINDALSTEL,1723649
248,JKCEMENT,3397121
249,JKLAKSHMI,3453697
250,JKPAPER,3036161
251,JKTYRE,3695361
252,JMFINANCIL,3491073
253,JSL,2876417
254,JSLHISAR,3149825
255,JSWSTEEL,3001089
256,JTEKTINDIA,828673
257,JUBLFOOD,4632577
258,JUSTDIAL,7670273
259,JYOTHYLAB,3877377
260,KAJARIACER,462849
261,KALPATPOWR,464385
262,KANSAINER,306177
263,KARURVYSYA,470529
264,KEC,3394561
265,KEI,3407361
266,KNRCON,3912449
267,KOTAKBANK,492033
268,KPITTECH,2478849
269,KPRMILL,3817473
270,KRBL,2707713
271,KSB,498945
272,KSCL,3832833
273,L&TFH,6386689
274,LALPATHLAB,2983425
275,LAOPALA,3692289
276,LAURUSLABS,4923905
277,LAXMIMACH,506625
278,LEMONTREE,667137
279,LICHSGFIN,511233
280,LINDEINDIA,416513
281,LT,2939649
282,LTI,4561409
283,LTTS,4752385
284,LUPIN,2672641
285,LUXIND,2893057
286,M&M,519937
287,M&MFIN,3400961
288,MAHABANK,2912513
289,MAHINDCIE,3823873
290,MAHLOG,98561
291,MAHSCOOTER,533761
292,MAHSEAMLES,534529
293,MANAPPURAM,4879617
294,MARICO,1041153
295,MARUTI,2815745
296,MASFIN,50945
297,MAXHEALTH,5728513
298,MAZDOCK,130305
299,MCDOWELL-N,2674433
300,MCX,7982337
301,METROPOLIS,2452737
302,MFSL,548353
303,MGL,4488705
304,MHRIL,4437249
305,MIDHANI,630529
306,MINDACORP,6629633
307,MINDAIND,3623425
308,MINDTREE,3675137
309,MMTC,4596993
310,MOIL,5332481
311,MOTILALOFS,3826433
312,MPHASIS,1152769
313,MRF,582913
314,MRPL,584449
315,MUTHOOTFIN,6054401
316,NAM-INDIA,91393
317,NATCOPHARM,1003009
318,NATIONALUM,1629185
319,NAUKRI,3520257
320,NAVINFLUOR,3756033
321,NBCC,8042241
322,NCC,593665
323,NESCO,3944705
324,NESTLEIND,4598529
325,NETWORK18,3612417
326,NFL,3564801
327,NH,3031041
328,NHPC,4454401
329,NIACL,102145
330,NILKAMAL,619777
331,NLCINDIA,2197761
332,NMDC,3924993
333,NOCIL,625153
334,NTPC,2977281
335,OBEROIRLTY,5181953
336,OFSS,2748929
337,OIL,4464129
338,ONGC,633601
339,ORIENTELEC,760833
340,PAGEIND,3689729
341,PEL,617473
342,PERSISTENT,4701441
343,PETRONET,2905857
344,PFC,3660545
345,PFIZER,676609
346,PGHH,648961
347,PGHL,240641
348,PHILIPCARB,678145
349,PHOENIXLTD,3725313
350,PIDILITIND,681985
351,PIIND,6191105
352,PNB,2730497
353,PNBHOUSING,4840449
354,PNCINFRA,2402561
355,POLYCAB,2455041
356,POLYMED,6583809
357,POLYPLEX,687873
358,POWERGRID,3834113
359,POWERINDIA,4724993
360,PRESTIGE,5197313
361,PRINCEPIPE,4107521
362,PRSMJOHNSN,701185
363,PSB,5376257
364,PVR,3365633
365,QUESS,4532225
366,RADICO,2813441
367,RAIN,3926273
368,RAJESHEXPO,1894657
369,RALLIS,720897
370,RAMCOCEM,523009
371,RATNAMANI,3443457
372,RAYMOND,731905
373,RBLBANK,4708097
374,RCF,733697
375,RECLTD,3930881
376,REDINGTON,3649281
377,RELAXO,6201601
378,RELIANCE,738561
379,RESPONIND,5202689
380,RHIM,7977729
381,RITES,962817
382,ROSSARI,4968961
383,ROUTE,32769
384,RVNL,2445313
385,SAIL,758529
386,SANOFI,369153
387,SBICARD,4600577
388,SBILIFE,5582849
389,SBIN,779521
390,SCHAEFFLER,258817
391,SCHNEIDER,7995905
392,SCI,780289
393,SEQUENT,3659777
394,SFL,4911105
395,SHARDACROP,1277953
396,SHILPAMED,4544513
397,SHOPERSTOP,3024129
398,SHREECEM,794369
399,SHRIRAMCIT,3005185
400,SIEMENS,806401
401,SIS,5504257
402,SJVN,4834049
403,SKFINDIA,815617
404,SOBHA,3539457
405,SOLARA,940033
406,SOLARINDS,3412993
407,SONATSOFTW,1688577
408,SPANDANA,2927361
409,SPARC,3785729
410,SPICEJET,2930177
411,SRF,837889
412,SRTRANSFIN,1102337
413,STAR,1887745
414,STARCEMENT,5399297
415,STLTECH,2383105
416,SUDARSCHEM,851713
417,SUMICHEM,4378881
418,SUNCLAYLTD,7426049
419,SUNDARMFIN,854785
420,SUNDRMFAST,856321
421,SUNPHARMA,857857
422,SUNTECK,4516097
423,SUNTV,3431425
424,SUPPETRO,860161
425,SUPRAJIT,2992385
426,SUPREMEIND,860929
427,SUVENPHAR,4593921
428,SUZLON,3076609
429,SWANENERGY,6936321
430,SWSOLAR,3197185
431,SYMPHONY,6192641
432,SYNGENE,2622209
433,TASTYBITE,5143553
434,TATACHEM,871681
435,TATACOFFEE,185345
436,TATACOMM,952577
437,TATACONSUM,878593
438,TATAELXSI,873217
439,TATAINVEST,414977
440,TATAMOTORS,884737
441,TATAPOWER,877057
442,TATASTEEL,895745
443,TCIEXP,4921089
444,TCNSBRANDS,1068033
445,TCS,2953217
446,TEAMLEASE,3255297
447,TECHM,3465729
448,THERMAX,889601
449,THYROCARE,4360193
450,TIINDIA,79873
451,TIMKEN,3634689
452,TITAN,897537
453,TORNTPHARM,900609
454,TORNTPOWER,3529217
455,TRENT,502785
456,TRIDENT,2479361
457,TRITURBINE,6549505
458,TTKPRESTIG,907777
459,TV18BRDCST,3637249
460,TVSMOTOR,2170625
461,UBL,4278529
462,UCOBANK,2873089
463,UFLEX,269569
464,UJJIVAN,4369665
465,UJJIVANSFB,3898369
466,ULTRACEMCO,2952193
467,UNIONBANK,2752769
468,UPL,2889473
469,UTIAMC,134913
470,VAIBHAVGBL,2909185
471,VAKRANGEE,3415553
472,VALIANTORG,84481
473,VARROC,987393
474,VBL,4843777
475,VEDL,784129
476,VENKEYS,961793
477,VGUARD,3932673
478,VINATIORGA,4445185
479,VIPIND,947969
480,VMART,7496705
481,VOLTAS,951809
482,VSTIND,953345
483,VTL,530689
484,WABCOINDIA,4330241
485,WELCORP,3026177
486,WELSPUNIND,2880769
487,WESTLIFE,2964481
488,WHIRLPOOL,4610817
489,WIPRO,969473
490,WOCKPHARMA,1921537
491,YESBANK,3050241
492,ZEEL,975873
493,ZENSARTECH,275457
494,ZYDUSWELL,4514561
495,PAYTM,1716481
